,zoverall,relevant,irrelevant
1,0.7804143741962354,0.6964020387230471,0.866092876715636
2,0.8689066343384215,0.8087189619217551,0.9291694871606675
3,0.8900692842650025,0.8375043917934959,0.94164064417638
4,0.9004804555930832,0.8521504312013362,0.946842542869403
5,0.9078565655396226,0.8630719661302954,0.9495292102823661
6,0.9125787495998735,0.8696114651589146,0.9517122497450026
7,0.9148063627215156,0.8723341474754243,0.953211289422709
8,0.9164524185430561,0.8748564372825138,0.9535188713163882
9,0.9178124265302652,0.8768689366869505,0.9538518162140077
10,0.9189481079361607,0.8783366450681555,0.9544523807446665
